0;;[1-7];;[8-9];;x;;[n|t];;[A-F];;[G-Z|a-m|o-s|u-w|y-z];;_;;/;;\\;;"""";;';;&;;|;;!;;\+;;-;;\*;;%;;=;;<;;>;;,;;pc;;\{;;\};;\(;;\);;\n;;[ |\r|\t];
7;N;6;N;6;N;21;S;21;S;21;S;21;S;;-1;1;L;;-1;11;S;13;S;19;L;20;L;24;L;15;L;5;L;16;L;17;L;18;L;23;L;22;L;-1;T50;-1;T51;-1;T48;-1;T49;-1;T46;-1;T47;0;L;0;L
-1;T4;-1;T4;-1;T4;-1;T4;-1;T4;-1;T4;-1;T4;-1;T4;2;L;-1;T4;-1;T4;-1;T4;-1;T4;-1;T4;-1;T4;-1;T4;-1;T4;3;L;-1;T4;-1;T21;-1;T4;-1;T4;-1;T4;-1;T4;-1;T4;-1;T4;-1;T4;-1;T4;-1;T4;-1;T4
2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;2;L;0;L;2;L
3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;4;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L
3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;0;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;4;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L;3;L
-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T16;-1;T2;-1;T2;-1;T19;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2;-1;T2
6;D;6;D;6;D;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25
8;N;8;N;-1;T25;9;L;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25
8;O;8;O;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25
10;F;10;F;10;F;10;F;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1
10;H;10;H;10;HL;10;HL;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25;-1;T25
11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;-1;T26;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C;11;C
